640 6400
1 5 78
1 20 84
1 38 66
1 59 7
1 72 52
1 78 57
1 135 37
1 143 81
1 149 28
1 189 2
1 197 29
1 233 99
1 277 28
1 381 10
1 422 28
1 525 98
1 537 11
1 583 85
2 8 46
2 21 32
2 50 93
2 77 43
2 127 3
2 137 52
2 149 73
2 150 60
2 185 25
2 231 98
2 303 88
2 326 10
2 377 63
2 383 29
2 401 47
2 411 80
2 415 29
2 447 71
2 490 74
2 521 95
2 540 15
2 557 100
2 583 21
2 618 75
3 9 63
3 33 65
3 48 26
3 88 76
3 102 93
3 193 48
3 215 39
3 224 17
3 362 79
3 402 40
3 407 96
3 408 56
3 409 72
3 429 96
3 469 83
3 551 23
3 556 67
3 601 85
3 622 58
4 55 96
4 62 35
4 75 66
4 113 31
4 129 78
4 138 14
4 145 47
4 151 32
4 155 91
4 192 63
4 248 12
4 261 61
4 283 7
4 294 95
4 447 85
4 453 17
4 487 23
4 504 62
4 527 57
5 21 76
5 34 35
5 93 30
5 111 97
5 124 3
5 153 78
5 196 14
5 220 41
5 262 77
5 268 30
5 279 87
5 299 66
5 340 90
5 349 42
5 352 28
5 406 43
5 486 82
5 492 55
5 501 10
5 523 7
5 541 10
5 550 33
5 555 82
5 560 89
6 24 61
6 32 79
6 70 4
6 94 39
6 120 93
6 188 38
6 205 33
6 232 8
6 241 56
6 285 45
6 315 74
6 331 27
6 336 94
6 340 28
6 419 1
6 443 77
6 490 17
6 491 26
6 506 69
6 543 47
6 589 84
7 36 20
7 62 21
7 149 12
7 157 12
7 169 31
7 233 24
7 247 99
7 276 35
7 320 70
7 390 10
7 406 47
7 413 42
7 442 50
7 464 80
7 551 35
7 588 67
7 589 77
7 598 34
8 15 77
8 43 25
8 52 96
8 53 88
8 59 28
8 74 8
8 75 89
8 84 19
8 98 82
8 119 79
8 129 40
8 146 18
8 306 51
8 346 99
8 351 15
8 461 38
8 496 61
8 551 29
8 587 42
8 591 42
8 637 74
9 70 72
9 92 59
9 103 78
9 113 55
9 138 74
9 154 87
9 162 39
9 186 70
9 188 99
9 244 24
9 306 7
9 338 16
9 461 73
9 486 20
9 499 3
9 528 79
9 537 22
9 556 69
9 557 2
9 564 35
9 580 86
9 606 66
10 11 20
10 14 60
10 34 84
10 43 80
10 52 5
10 54 48
10 61 56
10 76 58
10 101 4
10 114 77
10 139 11
10 146 38
10 185 70
10 205 25
